,AlphaRatio,QueueRatio,BlockedLane
0,0.0,0.0,Short
1,0.0,0.0,Short
2,0.0,0.0,Short
3,0.0,0.0,Short
4,0.0,0.0,Short
5,0.0,0.0,Short
6,0.0,0.0,Short
7,0.0,0.0,Short
8,0.0,0.0,Short
9,0.0,0.0,Short
10,0.0,0.0,Short
11,0.0,0.0,Short
12,0.0,0.0,Short
13,0.0,0.0,Short
14,0.0,0.0,Short
15,0.0,0.0,Short
16,0.0,0.0,Short
17,0.0,0.0,Short
18,0.0,0.0,Short
19,0.0,0.0,Short
20,0.0,0.0,Short
21,0.0,0.0,Short
22,0.0,0.0,Short
23,0.0,0.0,Short
24,0.0,0.0,Short
25,0.0,0.0,Short
26,0.0,0.0,Short
27,0.0,0.0,Short
28,0.0,0.0,Short
29,0.0,0.0,Short
30,0.0,0.0,Short
31,0.0,0.0,Short
32,0.0,0.0,Short
33,0.0,0.0,Short
34,0.0,0.0,Short
35,0.0,0.0,Short
36,0.0,0.0,Short
37,0.0,0.0,Short
38,0.0,0.0,Short
39,0.0,0.0,Short
40,0.0,0.0,Short
41,0.0,0.0,Short
42,0.0,0.0,Short
43,0.0,0.0,Short
44,0.0,0.0,Short
45,0.0,0.0,Short
46,0.0,0.0,Short
47,0.0,0.0,Short
48,0.0,0.0,Short
49,0.0,0.0,Short
50,0.0,0.0,Short
51,0.0,0.0,Short
52,0.0,0.0,Short
53,0.0,0.0,Short
54,0.0,0.0,Short
55,0.0,0.0,Short
56,0.0,0.0,Short
57,0.0,0.0,Short
58,0.0,0.0,Short
59,0.0,0.0,Short
60,0.0,0.0,Short
61,0.0,0.0,Short
62,0.0,0.0,Short
63,0.0,0.0,Short
64,0.0,0.0,Short
65,0.0,0.0,Short
66,0.0,0.0,Short
67,0.0,0.0,Short
68,0.0,0.0,Short
69,0.0,0.0,Short
70,0.0,0.0,Short
71,0.0,0.0,Short
72,0.0,0.0,Short
73,0.0,0.0,Short
74,0.0,0.0,Short
75,0.0,0.0,Short
76,0.0,0.0,Short
77,0.0,0.0,Short
78,0.0,0.0,Short
79,0.0,0.0,Short
80,0.0,0.0,Short
81,0.0,0.0,Short
82,0.0,0.0,Short
83,0.0,0.0,Short
84,0.0,0.0,Short
85,0.0,0.0,Short
86,0.0,0.0,Short
87,0.0,0.0,Short
88,0.0,0.0,Short
89,0.0,0.0,Short
90,0.0,0.0,Short
91,0.0,0.0,Short
92,0.0,0.0,Short
93,0.0,0.0,Short
94,0.0,0.0,Short
95,0.0,0.0,Short
96,0.0,0.0,Short
97,0.0,0.0,Short
98,0.0,0.0,Short
99,0.0,0.0,Short
100,0.0,0.0,Short
101,0.0,0.0,Short
102,0.0,0.0,Short
103,0.0,0.0,Short
104,0.0,0.0,Short
105,0.0,0.0,Short
106,0.0,0.0,Short
107,0.0,0.0,Short
108,0.0,0.0,Short
109,0.0,0.0,Short
110,0.0,0.0,Short
111,0.0,0.0,Short
112,0.0,0.0,Short
113,0.0,0.0,Short
114,0.0,0.0,Short
115,0.0,0.0,Short
116,0.0,0.0,Short
117,0.0,0.0,Short
118,0.0,0.0,Short
119,0.0,0.0,Short
120,0.0,0.0,Short
121,0.0,0.0,Short
122,0.0,0.0,Short
123,0.0,0.0,Short
124,0.0,0.0,Short
125,0.0,0.0,Short
126,0.0,0.0,Short
127,0.0,0.0,Short
128,0.0,0.0,Short
129,0.0,0.0,Short
130,0.0,0.0,Short
131,0.0,0.0,Short
132,0.0,0.0,Short
133,0.0,0.0,Short
